"Category","people","id","opportunity.x","percentile.x","cutoff.x","accessibility.x","opportunity.y","percentile.y","cutoff.y","accessibility.y","geometry","change"
"Population",500,"113",NA,50,45,21079.9493877824,NA,50,45,31925.3845023031,c(-122.787011202823, 49.1492221213309),10845.4351145207
"Population",500,"114",NA,50,45,13316.3879605026,NA,50,45,13464.3734453234,c(-123.168929430864, 49.1309040860152),147.9854848208
"Population",500,"115",NA,50,45,42301.5915022346,NA,50,45,59400.9488931481,c(-122.672030152207, 49.1103837479162),17099.3573909135
"Population",500,"116",NA,50,45,9913.02860623025,NA,50,45,9938.28601290085,c(-122.773138387595, 49.0228538308697),25.2574066706002
"Population",500,"117",NA,50,45,73758.849509394,NA,50,45,76672.8869394021,c(-123.073602519052, 49.314564384315),2914.0374300081
"Population",500,"118",NA,50,45,30415.9541732432,NA,50,45,31228.7207187377,c(-122.899753995621, 49.1344628120931),812.766545494498
"Population",500,"119",NA,50,45,68100.9309278059,NA,50,45,85736.175381199,c(-122.793344602065, 49.282922636116),17635.2444533931
"Population",500,"120",NA,50,45,49415.2481411674,NA,50,45,51086.3919777513,c(-123.068871934127, 49.3136495761136),1671.1438365839
"Population",500,"121",NA,50,45,15716.9860154555,NA,50,45,16002.8277593705,c(-122.750909303645, 49.2659828222485),285.841743915
"Population",500,"122",NA,50,45,60158.7820331745,NA,50,45,66240.7043353278,c(-122.853291995437, 49.1759844042841),6081.9223021533
"Population",500,"123",NA,50,45,175918.561077717,NA,50,45,181758.91235333,c(-123.065765909456, 49.2270544041615),5840.35127561301
"Population",500,"124",NA,50,45,4979.29306084795,NA,50,45,5229.91878214261,c(-122.85550719696, 49.3015142041571),250.62572129466
"Population",500,"125",NA,50,45,10523.7381465835,NA,50,45,10570.4949932799,c(-122.744584948333, 49.2847905704426),46.7568466964003
"Population",500,"126",NA,50,45,4600.90155442128,NA,50,45,4600.90155442128,c(-122.558244365866, 49.192243245585),0
"Population",500,"127",NA,50,45,7574.39927862878,NA,50,45,7753.34932042404,c(-122.695483022428, 49.0966703942006),178.95004179526
"Population",500,"128",NA,50,45,43465.0463002018,NA,50,45,54626.9921751688,c(-122.911075124343, 49.1725330417458),11161.945874967
"Population",500,"129",NA,50,45,99744.0581668445,NA,50,45,123528.983052117,c(-122.848308218238, 49.1812247185227),23784.9248852725
"Population",500,"130",NA,50,45,74535.9834172826,NA,50,45,83835.5009380762,c(-122.962081534537, 49.2243728181798),9299.51752079361
"Population",500,"131",NA,50,45,9151.64182745467,NA,50,45,9415.52313135546,c(-122.582276139353, 49.1657914696897),263.881303900789
"Population",500,"132",NA,50,45,163626.793575603,NA,50,45,174005.305081407,c(-123.138782267388, 49.2867520535972),10378.511505804
"Population",500,"133",NA,50,45,171474.900822537,NA,50,45,185775.930491289,c(-123.115723783942, 49.2131841662746),14301.029668752
"Population",500,"134",NA,50,45,226097.087412637,NA,50,45,248426.648825276,c(-122.986236428132, 49.220363843825),22329.561412639
"Population",500,"135",NA,50,45,161388.661736364,NA,50,45,206749.924694169,c(-123.161655006184, 49.2637910942419),45361.262957805
"Population",500,"136",NA,50,45,27127.2672632258,NA,50,45,28071.4704688405,c(-122.786491044018, 49.2604946059071),944.2032056147
"Population",500,"137",NA,50,45,426.751061931345,NA,50,45,426.751061931345,c(-122.327783645235, 49.1572640759137),0
"Population",500,"138",NA,50,45,0,NA,50,45,0,c(-122.236273622691, 49.0575374357746),0
"Population",500,"139",NA,50,45,44244.8522722824,NA,50,45,45771.0034921542,c(-123.146257690423, 49.3360984570957),1526.1512198718
"Population",500,"140",NA,50,45,194322.35464491,NA,50,45,205800.891360654,c(-123.135804897356, 49.2792513332905),11478.536715744
"Population",500,"141",NA,50,45,193747.833327827,NA,50,45,230598.408624454,c(-123.095604332987, 49.2837551404251),36850.575296627
"Population",500,"142",NA,50,45,7046.63075673033,NA,50,45,7046.63075673033,c(-122.583119527771, 49.2439682487416),0
"Population",500,"143",NA,50,45,14501.0734463395,NA,50,45,14551.2699302216,c(-122.811011523246, 49.051121849258),50.1964838821004
"Population",500,"144",NA,50,45,474.803742815815,NA,50,45,474.803742815815,c(-122.693700909606, 49.2640218114637),0
"Population",500,"145",NA,50,45,54707.7637940344,NA,50,45,59839.7022390319,c(-122.799647815218, 49.2683763122717),5131.9384449975
"Population",500,"146",NA,50,45,23812.1839458252,NA,50,45,23986.0470525615,c(-122.826088006717, 49.1122497999211),173.863106736299
